,代號,股票名稱,上市日,市場別,產業別
8027,3236,千如,2004-12-02,上櫃,電子零組件業
8028,3252,海灣,2004-09-23,上櫃,觀光事業
8029,3259,鑫創,2007-12-24,上櫃,半導體業
8030,3260,威剛,2004-10-08,上櫃,半導體業
8031,3264,欣銓,2005-01-05,上櫃,半導體業
8032,3265,台星科,2005-08-02,上櫃,半導體業
8033,3268,海德威,2005-01-27,上櫃,半導體業
8034,3272,東碩,2014-08-26,上櫃,電腦及週邊設備業
8035,3276,宇環,2005-01-12,上櫃,電子零組件業
8036,3284,太普高,2005-03-22,上櫃,其他業
8037,3285,微端,2012-07-23,上櫃,其他電子業
8038,3287,廣寰科,2008-01-28,上櫃,電腦及週邊設備業
8039,3288,點晶,2005-04-15,上櫃,電子零組件業
8040,3289,宜特,2004-12-28,上櫃,其他電子業
8041,3290,東浦,2005-05-19,上櫃,電子零組件業
8042,3293,鈊象,2006-07-12,上櫃,文化創意業
8043,3294,英濟,2007-04-27,上櫃,電子零組件業
8044,3297,杭特,2005-06-07,上櫃,光電業
8045,3303,岱稜,2007-05-28,上櫃,其他電子業
8046,3306,鼎天,2005-07-05,上櫃,通信網路業
8047,3310,佳穎,2008-06-27,上櫃,電子零組件業
8048,3313,斐成,2006-05-29,上櫃,其他業
8049,3317,尼克森,2007-08-09,上櫃,半導體業
8050,3322,建舜電,2009-05-20,上櫃,電子零組件業
8051,3323,加百裕,2007-06-25,上櫃,電腦及週邊設備業
8052,3324,雙鴻,2005-05-13,上櫃,其他電子業
8053,3325,旭品,2005-08-15,上櫃,電腦及週邊設備業
8054,3332,幸康,2008-01-24,上櫃,電子零組件業
8055,3339,泰谷,2006-06-27,上櫃,光電業
8056,3354,律勝,2005-12-08,上櫃,電子零組件業
8057,3357,臺慶科,2021-04-27,上櫃,電子零組件業
8058,3360,尚立,2006-06-06,上櫃,電子通路業
8059,3362,先進光,2005-09-06,上櫃,光電業
8060,3363,上詮,2011-02-25,上櫃,通信網路業
8061,3372,典範,2005-12-16,上櫃,半導體業
8062,3373,熱映,2007-12-13,上櫃,其他電子業
8063,3374,精材,2015-03-30,上櫃,半導體業
8064,3379,彬台,2011-10-20,上櫃,電機機械
8065,3388,崇越電,2006-02-22,上櫃,電子零組件業
8066,3390,旭軟,2006-02-22,上櫃,電子零組件業
8067,3402,漢科,2007-01-09,上櫃,其他電子業
8068,3426,台興,2016-12-21,上櫃,電機機械
8069,3434,哲固,2008-01-28,上櫃,光電業
8070,3438,類比科,2006-07-19,上櫃,半導體業
8071,3441,聯一光,2010-10-04,上櫃,光電業
8072,3444,利機,2008-09-26,上櫃,電子通路業
8073,3455,由田,2007-12-27,上櫃,光電業
8074,3465,進泰電子,2008-01-28,上櫃,電子零組件業
8075,3466,致振,2006-05-17,上櫃,通信網路業
8076,3479,安勤,2010-06-08,上櫃,電腦及週邊設備業
8077,3483,力致,2006-12-18,上櫃,電腦及週邊設備業
8078,3484,崧騰,2007-11-09,上櫃,電子零組件業
8079,3489,森寶,2007-09-29,上櫃,建材營造業
8080,3490,單井,2007-10-15,上櫃,光電業
8081,3491,昇達科,2008-01-03,上櫃,通信網路業
8082,3492,長盛,2015-05-18,上櫃,電子零組件業
8083,3498,陽程,2007-09-11,上櫃,其他電子業
8084,3499,環天科,2006-10-19,上櫃,通信網路業
8085,3508,位速,2007-10-17,上櫃,其他電子業
8086,3511,矽瑪,2009-02-16,上櫃,電子零組件業
8087,3512,皇龍,2007-07-25,上櫃,電子零組件業
8088,3516,亞帝歐,2007-11-29,上櫃,光電業
8089,3520,華盈,2007-10-12,上櫃,電子零組件業
8090,3521,鴻翊,2007-08-07,上櫃,電腦及週邊設備業
