,代號,股票名稱,上市日,市場別,產業別
8398,6118,建達,2001-10-25,上櫃,電子通路業
8399,6121,新普,2001-11-27,上櫃,電腦及週邊設備業
8400,6122,擎邦,2000-07-14,上櫃,電機機械
8401,6123,上奇,2002-01-23,上櫃,電腦及週邊設備業
8402,6124,業強,2002-03-19,上櫃,電子零組件業
8403,6125,廣運,2002-01-23,上櫃,光電業
8404,6126,信音,2002-01-18,上櫃,電子零組件業
8405,6127,九豪,2002-01-10,上櫃,電子零組件業
8406,6129,普誠,2001-12-25,上櫃,半導體業
8407,6130,星寶國際,2002-03-26,上櫃,生技醫療業
8408,6134,萬旭,2002-01-08,上櫃,電子零組件業
8409,6138,茂達,2002-01-18,上櫃,半導體業
8410,6140,訊達,2002-02-04,上櫃,資訊服務業
8411,6143,振曜,2002-01-28,上櫃,通信網路業
8412,6144,得利影,2002-01-23,上櫃,文化創意業
8413,6146,耕興,2002-01-23,上櫃,其他電子業
8414,6147,頎邦,2002-01-31,上櫃,半導體業
8415,6148,驊宏資,2002-02-01,上櫃,資訊服務業
8416,6150,撼訊,2002-03-11,上櫃,電腦及週邊設備業
8417,6151,晉倫,2002-02-25,上櫃,其他電子業
8418,6154,順發,2002-02-18,上櫃,電子通路業
8419,6156,松上,2002-02-19,上櫃,電子零組件業
8420,6158,禾昌,2002-02-19,上櫃,電子零組件業
8421,6160,欣技,2002-03-01,上櫃,電腦及週邊設備業
8422,6161,捷波,2002-03-01,上櫃,電腦及週邊設備業
8423,6163,華電網,2002-03-19,上櫃,通信網路業
8424,6167,久正,2002-03-26,上櫃,光電業
8425,6169,昱泉,2002-03-22,上櫃,文化創意業
8426,6170,統振,2002-04-16,上櫃,通信網路業
8427,6171,大城地產,2002-04-22,上櫃,建材營造業
8428,6173,信昌電,2002-04-19,上櫃,電子零組件業
8429,6174,安碁,2002-05-02,上櫃,電子零組件業
8430,6175,立敦,2002-06-10,上櫃,電子零組件業
8431,6179,亞通,2002-05-17,上櫃,其他業
8432,6180,橘子,2002-05-21,上櫃,文化創意業
8433,6182,合晶,2002-05-16,上櫃,半導體業
8434,6185,幃翔,2002-08-09,上櫃,電子零組件業
8435,6186,新潤,2002-08-02,上櫃,建材營造業
8436,6187,萬潤,2002-09-27,上櫃,其他電子業
8437,6188,廣明,2002-08-27,上櫃,電腦及週邊設備業
8438,6190,萬泰科,1998-02-04,上櫃,通信網路業
8439,6194,育富,2002-12-05,上櫃,電子零組件業
8440,6195,詩肯,2002-10-21,上櫃,貿易百貨業
8441,6198,凌泰,2002-12-26,上櫃,半導體業
8442,6199,天品,2016-10-07,上櫃,其他業
8443,6203,海韻電,2002-12-26,上櫃,電子零組件業
8444,6204,艾華,2002-11-13,上櫃,電子零組件業
8445,6207,雷科,2002-12-23,上櫃,電子零組件業
8446,6208,日揚,2002-12-23,上櫃,電子零組件業
8447,6210,慶生,2003-02-14,上櫃,電子零組件業
8448,6212,理銘,2002-12-26,上櫃,建材營造業
8449,6217,中探針,2003-01-09,上櫃,電子零組件業
8450,6218,豪勉,2003-01-14,上櫃,通信網路業
8451,6219,富旺,2003-02-26,上櫃,建材營造業
8452,6220,岳豐,2003-01-09,上櫃,電子零組件業
8453,6221,晉泰,2003-01-06,上櫃,資訊服務業
8454,6222,上揚,2003-01-09,上櫃,光電業
8455,6223,旺矽,2003-01-06,上櫃,半導體業
8456,6227,茂綸,2003-01-14,上櫃,電子通路業
8457,6228,全譜,2003-01-21,上櫃,電腦及週邊設備業
8458,6229,研通,2003-01-14,上櫃,半導體業
8459,6231,系微,2003-01-23,上櫃,資訊服務業
8460,6233,旺玖,2003-02-20,上櫃,半導體業
8461,6234,高僑,2003-03-12,上櫃,光電業
8462,6236,康呈,2003-03-31,上櫃,其他業
8463,6237,驊訊,2003-04-21,上櫃,半導體業
8464,6240,松崗,2003-05-30,上櫃,其他業
8465,6241,易通展,2003-04-08,上櫃,通信網路業
8466,6242,立康,2003-04-23,上櫃,生技醫療業
8467,6244,茂迪,2003-05-15,上櫃,光電業
8468,6245,立端,2003-05-19,上櫃,通信網路業
8469,6246,臺龍,2003-06-18,上櫃,光電業
8470,6247,淇譽電,2003-07-04,上櫃,其他電子業
8471,6248,沛波,2003-09-03,上櫃,鋼鐵工業
8472,6259,百徽,2003-09-17,上櫃,電子零組件業
8473,6261,久元,2004-03-29,上櫃,半導體業
8474,6263,普萊德,2003-09-17,上櫃,通信網路業
8475,6264,富裔,2004-02-24,上櫃,建材營造業
8476,6265,方土昶,2003-10-24,上櫃,電子通路業
8477,6266,泰詠,2004-04-29,上櫃,電子零組件業
8478,6270,倍微,2003-09-17,上櫃,電子通路業
8479,6274,台燿,2003-12-18,上櫃,電子零組件業
8480,6275,元山,2004-12-23,上櫃,電子零組件業
8481,6276,安鈦克,2003-10-30,上櫃,電腦及週邊設備業
8482,6279,胡連,2003-11-26,上櫃,電子零組件業
8483,6284,佳邦,2004-06-29,上櫃,電子零組件業
8484,6287,元隆,2003-10-02,上櫃,半導體業
8485,6290,良維,2005-06-03,上櫃,電子零組件業
8486,6291,沛亨,2004-01-28,上櫃,半導體業
8487,6292,迅德,2003-11-26,上櫃,電子零組件業
8488,6294,智基,2004-01-13,上櫃,文化創意業
8489,6404,通訊-KY,2014-07-23,上櫃,資訊服務業
8490,6411,晶焱,2014-03-11,上櫃,半導體業
8491,6417,韋僑,2015-10-08,上櫃,通信網路業
8492,6418,詠昇,2019-02-18,上櫃,電子零組件業
8493,6419,京晨科,2014-12-29,上櫃,光電業
8494,6425,易發,2019-01-18,上櫃,電機機械
8495,6432,今展科,2015-05-20,上櫃,電子零組件業
8496,6435,大中,2016-01-07,上櫃,半導體業
8497,6441,廣錠,2017-09-27,上櫃,電腦及週邊設備業
8498,6446,藥華藥,2016-07-19,上櫃,生技醫療業
8499,6457,紘康,2015-06-12,上櫃,半導體業
8500,6461,益得,2018-03-28,上櫃,生技醫療業
8501,6462,神盾,2015-12-23,上櫃,半導體業
8502,6465,威潤,2015-11-20,上櫃,通信網路業
8503,6469,大樹,2016-03-30,上櫃,生技醫療業
8504,6470,宇智,2015-11-03,上櫃,通信網路業
8505,6472,保瑞,2017-04-19,上櫃,生技醫療業
8506,6482,弘煜科,2016-06-13,上櫃,文化創意業
8507,6485,點序,2015-11-17,上櫃,半導體業
8508,6486,互動,2016-09-13,上櫃,通信網路業
8509,6488,環球晶,2015-09-25,上櫃,半導體業
8510,6492,生華科,2017-04-24,上櫃,生技醫療業
8511,6494,九齊,2016-05-09,上櫃,半導體業
8512,6496,科懋,2016-01-07,上櫃,生技醫療業
8513,6499,益安,2016-07-27,上櫃,生技醫療業
8514,6506,雙邦,2011-05-03,上櫃,紡織纖維
8515,6508,惠光,2004-03-22,上櫃,農業科技業
8516,6509,聚和,2004-04-12,上櫃,化學工業
8517,6510,精測,2016-03-24,上櫃,半導體業
8518,6512,啟發電,2016-03-25,上櫃,其他電子業
8519,6514,芮特-KY,2015-12-02,上櫃,通信網路業
8520,6516,勤崴國際,2019-05-06,上櫃,資訊服務業
8521,6523,達爾膚,2016-06-16,上櫃,生技醫療業
8522,6527,明達醫,2019-12-25,上櫃,生技醫療業
8523,6530,創威,2018-01-23,上櫃,通信網路業
8524,6532,瑞耘,2016-09-26,上櫃,半導體業
8525,6535,順藥,2016-09-26,上櫃,生技醫療業
8526,6538,倉和,2016-10-21,上櫃,電子零組件業
8527,6542,隆中,2016-09-08,上櫃,文化創意業
8528,6547,高端疫苗,2018-04-17,上櫃,生技醫療業
8529,6548,長科*,2016-09-13,上櫃,半導體業
8530,6556,勝品,2017-10-31,上櫃,光電業
8531,6560,欣普羅,2017-01-24,上櫃,光電業
8532,6561,是方,2018-06-05,上櫃,通信網路業
8533,6568,宏觀,2016-12-28,上櫃,半導體業
8534,6569,醫揚,2016-12-21,上櫃,生技醫療業
8535,6570,維田,2017-12-11,上櫃,電腦及週邊設備業
8536,6574,霈方,2017-09-04,上櫃,生技醫療業
8537,6576,逸達,2018-06-29,上櫃,生技醫療業
8538,6577,勁豐,2017-03-21,上櫃,電腦及週邊設備業
8539,6578,達邦蛋白,2018-09-18,上櫃,農業科技業
8540,6588,東典光電,2020-07-01,上櫃,通信網路業
8541,6589,台康生技,2019-06-28,上櫃,生技醫療業
8542,6590,普鴻,2018-12-24,上櫃,資訊服務業
8543,6593,台灣銘板,2017-11-03,上櫃,資訊服務業
8544,6594,展匯科,2017-04-28,上櫃,半導體業
8545,6596,寬宏藝術,2018-01-04,上櫃,文化創意業
8546,6603,富強鑫,2004-04-05,上櫃,電機機械
8547,6609,瀧澤科,2003-09-23,上櫃,電機機械
8548,6612,奈米醫材,2018-07-18,上櫃,生技醫療業
8549,6613,朋億,2017-12-28,上櫃,其他電子業
8550,6615,慧智,2018-01-22,上櫃,生技醫療業
8551,6616,特昇-KY,2018-01-10,上櫃,其他業
8552,6624,萬年清,2019-05-28,上櫃,其他業
8553,6629,泰金-KY,2019-06-06,上櫃,其他業
8554,6640,均華,2018-10-23,上櫃,半導體業
8555,6642,富致,2019-09-23,上櫃,電子零組件業
8556,6643,M31,2019-01-23,上櫃,半導體業
8557,6649,台生材,2019-06-05,上櫃,生技醫療業
8558,6651,全宇昕,2021-02-01,上櫃,半導體業
8559,6654,天正國際,2018-10-23,上櫃,其他電子業
8560,6661,威健生技,2021-01-27,上櫃,生技醫療業
8561,6662,樂斯科,2019-03-26,上櫃,生技醫療業
8562,6664,群翊,2018-09-12,上櫃,電子零組件業
8563,6667,信紘科,2018-11-13,上櫃,其他電子業
8564,6679,鈺太,2019-05-09,上櫃,半導體業
8565,6680,鑫創電子,2019-09-16,上櫃,電腦及週邊設備業
8566,6683,雍智科技,2019-04-23,上櫃,半導體業
8567,6684,安格,2021-08-11,上櫃,半導體業
8568,6690,安碁資訊,2019-10-30,上櫃,資訊服務業
8569,6693,廣閎科,2022-03-01,上櫃,半導體業
8570,6697,東捷資訊,2019-12-26,上櫃,資訊服務業
8571,6703,軒郁,2020-10-20,上櫃,生技醫療業
8572,6712,長聖,2021-01-08,上櫃,生技醫療業
8573,6716,應廣,2020-03-27,上櫃,半導體業
8574,6727,亞泰金屬,2020-12-01,上櫃,電子零組件業
8575,6728,上洋,2020-12-25,上櫃,貿易百貨業
8576,6732,昇佳電子,2020-06-08,上櫃,半導體業
8577,6733,博晟生醫,2021-01-28,上櫃,生技醫療業
8578,6741,91APP*-KY,2021-05-25,上櫃,電子商務
8579,6747,亨泰光,2021-01-19,上櫃,生技醫療業
8580,6751,智聯服務,2020-12-25,上櫃,資訊服務業
8581,6752,叡揚,2020-12-10,上櫃,資訊服務業
8582,6761,穩得,2021-11-08,上櫃,電子零組件業
8583,6762,達亞,2020-12-18,上櫃,生技醫療業
8584,6763,綠界科技,2022-03-15,上櫃,電子商務
8585,6767,台微醫,2021-01-25,上櫃,生技醫療業
8586,6788,華景電,2021-09-29,上櫃,半導體業
8587,6803,崑鼎,2010-05-27,上櫃,其他業
8588,6829,千附精密,2022-03-11,上櫃,電機機械
8589,7402,邑錡,2015-12-29,上櫃,光電業
8590,7556,意德士,2020-10-30,上櫃,半導體業
8591,8024,佑華,2006-09-25,上櫃,半導體業
8592,8027,鈦昇,2015-06-09,上櫃,電機機械
8593,8032,光菱,2003-10-02,上櫃,電子通路業
8594,8034,榮群,2004-05-06,上櫃,通信網路業
8595,8038,長園科,2013-11-21,上櫃,電子零組件業
8596,8040,九暘,2007-04-30,上櫃,半導體業
8597,8042,金山電,2004-03-22,上櫃,電子零組件業
8598,8043,蜜望實,2003-10-24,上櫃,電子零組件業
8599,8044,網家,2005-01-24,上櫃,電子商務
8600,8047,星雲,2004-02-09,上櫃,其他電子業
8601,8048,德勝,2009-09-08,上櫃,通信網路業
8602,8049,晶采,2004-02-02,上櫃,光電業
8603,8050,廣積,2003-10-24,上櫃,電腦及週邊設備業
8604,8054,安國,2004-11-08,上櫃,半導體業
8605,8059,凱碩,2010-03-16,上櫃,通信網路業
8606,8064,東捷,2006-09-25,上櫃,光電業
8607,8066,來思達,2004-12-24,上櫃,貿易百貨業
8608,8067,志旭,2004-04-23,上櫃,電子通路業
8609,8068,全達,2004-03-25,上櫃,電子通路業
8610,8069,元太,2004-03-30,上櫃,光電業
8611,8071,能率網通,2003-12-29,上櫃,電子零組件業
8612,8074,鉅橡,2004-01-27,上櫃,電子零組件業
8613,8076,伍豐,2003-12-15,上櫃,電腦及週邊設備業
8614,8077,洛碁,2004-12-06,上櫃,觀光事業
8615,8080,永利聯合,2021-04-07,上櫃,電子零組件業
8616,8083,瑞穎,2004-09-23,上櫃,電機機械
8617,8084,巨虹,2004-03-08,上櫃,電子通路業
8618,8085,福華,2004-03-01,上櫃,其他電子業
8619,8086,宏捷科,2009-06-01,上櫃,半導體業
8620,8087,華鎂鑫,2004-02-25,上櫃,光電業
8621,8088,品安,2004-02-27,上櫃,半導體業
8622,8089,康全電訊,2020-09-23,上櫃,通信網路業
8623,8091,翔名,2004-06-24,上櫃,電子零組件業
8624,8092,建暐,2004-02-02,上櫃,其他電子業
8625,8093,保銳,2004-12-31,上櫃,電子零組件業
8626,8096,擎亞,2004-07-15,上櫃,電子通路業
8627,8097,常珵,2004-03-01,上櫃,通信網路業
8628,8099,大世科,2004-03-29,上櫃,資訊服務業
8629,8107,大億金茂,2005-11-15,上櫃,電機機械
8630,8109,博大,2005-03-22,上櫃,電子零組件業
8631,8111,立碁,2004-02-09,上櫃,光電業
8632,8121,越峰,2005-02-17,上櫃,電子零組件業
8633,8147,正淩,2013-04-30,上櫃,電子零組件業
8634,8155,博智,2012-12-18,上櫃,電子零組件業
8635,8171,天宇,2011-12-19,上櫃,通信網路業
8636,8176,智捷,2013-06-25,上櫃,通信網路業
8637,8182,加高,2006-05-25,上櫃,電子零組件業
8638,8183,精星,2005-03-30,上櫃,其他電子業
8639,8234,新漢,2007-06-07,上櫃,電腦及週邊設備業
8640,8240,華宏,2005-06-23,上櫃,光電業
8641,8255,朋程,2006-04-25,上櫃,電機機械
8642,8277,商丞,2004-12-27,上櫃,半導體業
8643,8279,生展,2016-09-26,上櫃,生技醫療業
8644,8284,三竹,2020-05-18,上櫃,資訊服務業
8645,8289,泰藝,2008-04-24,上櫃,電子零組件業
8646,8291,尚茂,2011-11-29,上櫃,電子零組件業
8647,8299,群聯,2004-12-06,上櫃,半導體業
8648,8342,益張,2017-11-23,上櫃,其他業
8649,8349,恒耀,2006-03-10,上櫃,鋼鐵工業
8650,8354,冠好,2004-04-15,上櫃,其他業
8651,8358,金居,2010-09-27,上櫃,電子零組件業
8652,8383,千附,2004-09-10,上櫃,其他電子業
8653,8390,金益鼎,2008-05-21,上櫃,其他業
8654,8401,白紗科,2010-03-29,上櫃,其他業
8655,8403,盛弘,2011-03-01,上櫃,生技醫療業
8656,8406,金可-KY,2012-04-27,上櫃,生技醫療業
8657,8409,商之器,2013-11-25,上櫃,生技醫療業
8658,8410,森田,2011-02-23,上櫃,電腦及週邊設備業
8659,8415,大國鋼,2016-09-07,上櫃,鋼鐵工業
8660,8416,實威,2012-09-19,上櫃,資訊服務業
8661,8418,捷必勝-KY,2011-12-06,上櫃,其他業
8662,8420,明揚,2014-11-10,上櫃,其他業
8663,8421,旭源,2012-11-23,上櫃,其他業
8664,8423,保綠-KY,2012-03-14,上櫃,其他業
8665,8424,惠普,2012-12-18,上櫃,建材營造業
8666,8426,紅木-KY,2011-12-13,上櫃,其他業
8667,8431,匯鑽科,2015-03-30,上櫃,其他電子業
8668,8432,東生華,2012-04-30,上櫃,生技醫療業
8669,8433,弘帆,2012-12-19,上櫃,貿易百貨業
8670,8435,鉅邁,2012-12-28,上櫃,其他業
8671,8436,大江,2013-09-12,上櫃,生技醫療業
8672,8437,大地-KY,2015-05-06,上櫃,其他業
8673,8440,綠電,2018-03-28,上櫃,其他業
8674,8444,綠河-KY,2015-10-27,上櫃,其他業
8675,8446,華研,2013-12-19,上櫃,文化創意業
8676,8450,霹靂,2014-10-07,上櫃,文化創意業
8677,8455,大拓-KY,2016-01-08,上櫃,其他電子業
8678,8472,夠麻吉,2016-01-11,上櫃,電子商務
8679,8476,台境,2017-03-28,上櫃,其他業
8680,8477,創業家,2016-10-31,上櫃,電子商務
8681,8489,三貝德,2017-04-27,上櫃,其他業
8682,8905,裕國,1996-01-31,上櫃,其他業
8683,8906,花王,1996-04-23,上櫃,其他業
8684,8908,欣雄,1997-02-14,上櫃,油電燃氣業
8685,8916,光隆,1999-04-20,上櫃,其他業
8686,8917,欣泰,1999-05-06,上櫃,油電燃氣業
8687,8921,沈氏,2000-03-21,上櫃,其他業
8688,8923,時報,1999-12-27,上櫃,文化創意業
8689,8924,大田,2000-02-09,上櫃,其他業
8690,8927,北基,2000-11-02,上櫃,油電燃氣業
8691,8928,鉅明,2001-02-02,上櫃,其他業
8692,8929,富堡,2000-11-30,上櫃,其他業
8693,8930,青鋼,2000-12-06,上櫃,鋼鐵工業
8694,8931,大汽電,2001-05-10,上櫃,油電燃氣業
8695,8932,宏大,2001-03-29,上櫃,其他業
8696,8933,愛地雅,2001-03-28,上櫃,其他業
8697,8935,邦泰,2002-03-26,上櫃,其他業
8698,8936,國統,2002-09-09,上櫃,其他業
8699,8937,合騏,2002-10-29,上櫃,其他業
8700,8938,明安,2002-12-02,上櫃,其他業
8701,8941,關中,2003-01-20,上櫃,貿易百貨業
8702,8942,森鉅,2003-05-16,上櫃,其他業
8703,9949,琉園,2003-11-21,上櫃,文化創意業
8704,9950,萬國通,2004-02-17,上櫃,塑膠工業
8705,9951,皇田,2003-12-18,上櫃,電機機械
8706,9960,邁達康,2004-12-06,上櫃,貿易百貨業
8707,9962,有益,2006-07-10,上櫃,鋼鐵工業
